"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Sortowanie","Sortowanie po najniższej cenie","0","0","2","0","0"
"","Logowanie","Logowanie z użyciem błędnego hasła","0","2","0","0","0"
"","Logowanie","Logowanie z użyciem błędnego adresu email","0","1","0","0","0"
"","Koszyk","Zmiana ilości produktów w koszyku","0","1","0","0","0"
"","Sortowanie","Sortowanie po najwyższej cenie","0","0","2","0","0"
"","Koszyk","Dodawnie produktów do koszyka","0","0","1","0","0"
"","Logowanie","Logowanie z użyciem poprawnych danych","0","1","0","0","0"
"","Sortowanie","Sortowanie po popularności produktów","0","0","1","0","0"
"","API","Błędne pobranie informacji czy uzytkownik jest zalogowany","0","0","1","0","0"
"","Sortowanie","Sortowanie po dodanych nowościach","0","0","2","0","0"
"","Koszyk","Usuwanie produktów do koszyka","0","1","0","0","0"
"","Logowanie","Logowanie bez uzupełnienia pola adres email","0","1","0","0","0"
"","Sortowanie","Sortowanie po popularności prosuktów","0","0","1","0","0"
"","API","Błędne pobranie danych o dostępnych produktach","0","0","1","0","0"
"","Wylogowanie","Poprawne wylogowanie","0","1","0","0","0"
